time,lat,lon,alt,tas,heading,pitch,roll,flight_phase,throttle,target_pitch,target_roll,dist_to_dest,fuel,mass
0.0,31.143376517631776,121.8051710433394,10.0,2.045733008608743,267.6911150024203,0.0,0.0,TAXI,0.3,0.0,0.0,1461255.2310262443,16945.80067098851,70345.80067098851
2.0,31.143373554559936,121.8050851782586,10.0,4.08916878302777,267.6911150024203,0.0,0.0,TAXI,0.3,0.0,0.0,1461247.0526890608,16944.602423598822,70344.60242359882
4.0,31.143369113483676,121.80495648298051,10.0,6.12887955561505,267.6911150024203,0.0,0.0,TAXI,0.3,0.0,0.0,1461234.794930621,16943.40525661635,70343.40525661634
6.0,31.143359747877014,121.80468508272452,10.0,12.924946971394888,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1461208.9450387761,16939.41829480052,70339.41829480052
8.0,31.143345486616624,121.8042718143396,10.0,19.681163320763936,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1461169.5827163763,16935.443310394392,70335.44331039439
10.0,31.143331254505178,121.80385939070602,0.0,32.7531839424017,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1461130.3008476286,16931.480233164333,70331.48023316433
12.0,31.143305929240192,121.80312550557197,0.0,45.64990716293535,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1461060.4009118786,16927.537983254842,70327.53798325485
14.0,31.14327043040463,121.80209680723637,0.0,58.314978752984636,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1460962.4210412644,16923.618472720384,70323.61847272038
16.0,31.143225294613025,121.80078884626063,0.0,70.70298156568494,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1460837.8423413073,16919.721293115093,70319.72129311509
18.0,31.14317093577713,121.79921361753969,0.0,82.7724431734989,267.6911150024203,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1460687.8072469404,16915.845955914036,70315.84595591403
20.0,31.14310751892768,121.79737590386931,0.0,93.79149524809242,267.6911150024203,6.4,0.0,ROTATION,1.0,12.0,0.0,1460512.7712599398,16911.991899468507,70311.9918994685
22.0,31.14303798765042,121.79536100583917,23.090541822759274,96.64826192659967,267.6911150024203,12.0,0.0,ROTATION,1.0,12.0,0.0,1460320.8589308343,16908.157271706787,70308.15727170679
24.0,31.143053478654522,121.79336737402838,55.94265937950662,96.28177383835833,270.52015537829595,14.969380870310289,11.0,INITIAL_CLIMB,0.7273381807340032,14.969380870310289,30.0,1460131.3529504351,16905.375491917475,70305.37549191748
26.0,31.14306887966812,121.79138532332225,87.0896536271432,95.59619287028262,270.52015537829595,15.0,0.0,INITIAL_CLIMB,0.7310030616164166,15.0,-4.255533555001023,1459942.948077871,16902.584406754635,70302.58440675464
28.0,31.143058909797066,121.78941373510685,117.59840767035594,95.051078846203,269.6614843824452,15.0,-4.259830097456813,INITIAL_CLIMB,0.7378588712971738,15.0,-4.259830097456813,1459755.4235380895,16899.77121148171,70299.77121148171
30.0,31.14303130021341,121.78745134551787,147.55292607170003,94.58565038416774,269.0582278982885,15.0,-2.97527134992896,INITIAL_CLIMB,0.74331001153797,15.0,-2.97527134992896,1459568.693961607,16896.941407626287,70296.94140762629
32.0,31.14299146611147,121.78549684247669,176.99824463902976,94.18860529658426,268.6358983338473,15.0,-2.073240434136011,INITIAL_CLIMB,0.7479642961583226,15.0,-2.073240434136011,1459382.6589873708,16894.098097670907,70294.09809767091
34.0,31.14294317496515,121.78354902523034,205.9886971575956,93.85139713185282,268.3407654387491,15.0,-1.4421854166441221,INITIAL_CLIMB,0.7519347470341574,15.0,-1.4421854166441221,1459197.2214270346,16891.243934074846,70291.24393407485
36.0,31.14288904621833,121.78160683375528,234.57468904522037,93.56584833227853,268.1349427963915,15.0,-1.0016364069310555,INITIAL_CLIMB,0.7553068286814718,15.0,-1.0016364069310555,1459012.2923043352,16888.3812312712,70288.3812312712
38.0,31.142830896569677,121.77966935245354,262.802040336343,93.32471354774722,267.9916423894637,15.0,-0.6948515165361471,INITIAL_CLIMB,0.7581623166772147,15.0,-0.6948515165361471,1458827.7927585451,16885.51198138026,70285.51198138026
40.0,31.142769982654066,121.77773579897705,290.7113085754414,93.12163039770272,267.89198633970426,15.0,-0.48170995424197827,INITIAL_CLIMB,0.7605736645225277,15.0,-0.48170995424197827,1458643.654073732,16882.63789175989,70282.63789175989
42.0,31.142707171288546,121.77580550856601,318.33792187349025,92.95107360341905,267.8227149697957,15.0,-0.3339375726306173,INITIAL_CLIMB,0.7626044960229728,15.0,-0.3339375726306173,1458459.8169562074,16879.76042027461,70279.76042027462
44.0,31.14264305869319,121.77387791789194,345.71256991491225,92.8082749278348,267.7745461416662,15.0,-0.23167454782912955,INITIAL_CLIMB,0.7643100639658095,15.0,-0.23167454782912955,1458276.2305354893,16876.8808085557,70276.8808085557
46.0,31.14257805375289,121.7719525501196,372.861698535071,92.68913723520522,267.741002333001,15.0,-0.1610183121264015,INITIAL_CLIMB,0.765738050721652,15.0,-0.1610183121264015,1458092.851319354,16874.000111974125,70274.00011197412
48.0,31.142512435999613,121.77002900174847,399.8080180950938,92.59015059810163,267.71757578868875,15.0,-0.11226691894421492,INITIAL_CLIMB,0.7669294276479477,15.0,-0.11226691894421492,1457909.6422042556,16871.119226139177,70271.11922613918
50.0,31.14244639587744,121.76810693129342,426.57098548615016,92.50831469565098,267.7011371597278,15.0,-0.07866869180762137,INITIAL_CLIMB,0.7679192940189836,15.0,-0.07866869180762137,1457726.5715807783,16868.238910032116,70268.23891003212
52.0,31.142380062630227,121.76618604966052,453.16724291489265,92.44106903976116,267.6895185721547,15.0,-0.05553652235792583,INITIAL_CLIMB,0.7687376530434902,15.0,-0.05553652235792583,1457543.6125444656,16865.359806042194,70265.3598060422
54.0,31.142313523568873,121.76426611200944,479.61100842781656,92.38623129381783,267.6812209242049,15.0,-0.03962340563100497,INITIAL_CLIMB,0.7694101096023884,15.0,-0.03962340563100497,1457360.742209103,16862.482457226975,70262.48245722697
56.0,31.142246837351678,121.76234691088828,505.91441881971565,92.34194332518452,267.67520916638995,15.0,-0.028684032896791223,INITIAL_CLIMB,0.7699584870618217,15.0,-0.028684032896791223,1457177.94111397,16859.607322125572,70259.60732212558
58.0,31.14217748631138,121.76035338949167,519.097031387804,95.16881997763947,267.6724475048293,15.0,-0.0211681604976377,DEPARTURE,1.0,15.0,-0.0211681604976377,1456988.0606113954,16855.87870115862,70255.87870115862
60.0,31.142105182310402,121.75827800247978,529.6680270547474,98.98062796816585,267.66906793926614,13.280382090661703,-0.018583871124207008,DEPARTURE,1.0,13.280382090661703,-0.018583871124207008,1456790.3818834035,16852.157753581167,70252.15775358117
