time,lat,lon,alt,tas,heading,pitch,roll,flight_phase,throttle,target_pitch,target_roll,dist_to_dest,fuel,mass
0.0,40.080124586732694,116.58455208700305,10.0,2.045733008608743,188.26505763709898,0.0,0.0,TAXI,0.3,0.0,0.0,1956842.674297179,16945.80067098851,70345.80067098851
2.0,40.08005180108798,116.58453826878679,10.0,4.08916878302777,188.26505763709898,0.0,0.0,TAXI,0.3,0.0,0.0,1956834.4960258007,16944.602423598822,70344.60242359882
4.0,40.079942709369476,116.58451755796462,10.0,6.12887955561505,188.26505763709898,0.0,0.0,TAXI,0.3,0.0,0.0,1956822.2383659533,16943.40525661635,70343.40525661634
6.0,40.07971265024302,116.58447388189441,10.0,12.924946971394888,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956796.3886817978,16939.41829480052,70339.41829480052
8.0,40.07936233304239,116.58440737551335,10.0,19.681163320763936,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956757.0266752555,16935.443310394392,70335.44331039439
10.0,40.07901273186373,116.5843410054071,0.0,32.7531839424017,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956717.7451215785,16931.480233164333,70331.48023316433
12.0,40.07839063566093,116.58422290450703,0.0,45.64990716293535,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956647.8457450138,16927.537983254842,70327.53798325485
14.0,40.07751863330211,116.58405736267574,0.0,58.314978752984636,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956549.8666560159,16923.618472720384,70323.61847272038
16.0,40.07640990632207,116.58384688422406,0.0,70.70298156568494,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956425.2889468283,16919.721293115093,70319.72129311509
18.0,40.07507462215357,116.58359340159156,0.0,82.7724431734989,188.26505763709898,0.0,0.0,TAKEOFF_ROLL,1.0,0.0,0.0,1956275.255041724,16915.845955914036,70315.84595591403
20.0,40.07351683465334,116.58329768697624,0.0,93.79149524809242,188.26505763709898,6.4,0.0,ROTATION,1.0,12.0,0.0,1956100.22043712,16911.991899468507,70311.9918994685
22.0,40.07180885080478,116.58297346873688,23.090541822759274,96.64826192659967,188.26505763709898,12.0,0.0,ROTATION,1.0,12.0,0.0,1955908.309618538,16908.157271706787,70308.15727170679
24.0,40.070134361414134,116.58254440684912,55.94265937950662,96.28177383835833,191.0940980129746,14.969380870310289,11.0,INITIAL_CLIMB,0.7273381807340032,14.969380870310289,30.0,1955718.7644853147,16905.375491917475,70305.37549191748
26.0,40.06846959948464,116.58211784789756,87.0896536271432,95.59619287028262,191.0940980129746,15.0,0.0,INITIAL_CLIMB,0.7310030616164166,15.0,-4.2479843087190545,1955530.320536753,16902.584406754635,70302.58440675464
28.0,40.06680899435401,116.58172596711502,117.59884739494288,95.051078846203,190.23723157466537,15.0,-4.250861285271256,INITIAL_CLIMB,0.7378588712971738,15.0,-4.250861285271256,1955342.7695101413,16899.77121148171,70299.77121148171
30.0,40.06515289798394,116.5813585826696,147.55354076364046,94.58563093978873,189.6355266908627,15.0,-2.967653141611507,INITIAL_CLIMB,0.74331001153797,15.0,-2.967653141611507,1955156.0221202187,16896.94140769668,70296.94140769668
32.0,40.06350119850069,116.58100847660782,176.99896059983686,94.1885799593501,189.2145438111571,15.0,-2.066638867701343,INITIAL_CLIMB,0.7479644906021127,15.0,-2.066638867701343,1954969.9753380846,16894.0980970756,70294.09809707559
34.0,40.061853575951815,116.58067056840291,205.98946144464958,93.85136973440198,188.92061090538203,15.0,-1.4363257356737051,INITIAL_CLIMB,0.7519350004064991,15.0,-1.4363257356737051,1954784.5301217607,16891.243932600213,70291.24393260022
36.0,40.06020961853832,116.58034127974832,234.57547278561583,93.56582143115038,188.71588062441407,15.0,-0.9963220203847811,INITIAL_CLIMB,0.7553071026559801,15.0,-0.9963220203847811,1954599.5962112239,16888.38122884602,70288.38122884602
38.0,40.058568888908184,116.5800180921066,262.802827015656,93.32468838412548,188.5735936899223,15.0,-0.6899378893408681,INITIAL_CLIMB,0.7581625856884961,15.0,-0.6899378893408681,1954415.093856401,16885.511978028957,70285.51197802895
40.0,40.05693095919227,116.57969923293793,290.712089124233,93.12160754144851,188.47489325816406,15.0,-0.4770909831899388,INITIAL_CLIMB,0.7605739161587451,15.0,-0.4770909831899388,1954230.9537259839,16882.637887552646,70282.63788755264
42.0,40.055295429011345,116.57938345399127,318.33869159199384,92.95105323561607,188.40653509003118,15.0,-0.3295353593632484,INITIAL_CLIMB,0.7626047245855149,15.0,-0.3295353593632484,1954047.1161010158,16879.76041530215,70279.76041530215
44.0,40.053661933725614,116.5790698749913,345.7133266841825,92.80825701555366,188.3592483692278,15.0,-0.2274319495545143,INITIAL_CLIMB,0.7643102676438392,15.0,-0.2274319495545143,1953863.529817522,16876.880802914737,70276.88080291473
46.0,40.05203014712455,116.57875787373072,372.86244174463235,92.6891216324101,188.3265638661184,15.0,-0.1568934385761338,INITIAL_CLIMB,0.7657382298444634,15.0,-0.1568934385761338,1953680.1511810063,16874.00010575943,70274.00010575943
48.0,40.05039978098298,116.57844700897276,399.80874799511724,92.59013710489214,188.3039798923778,15.0,-0.10822906621466188,INITIAL_CLIMB,0.7669295836758989,15.0,-0.10822906621466188,1953496.9429487048,16871.119219439428,70271.11921943942
50.0,40.04877058291824,116.57813696646866,426.5717027933836,92.5083030927625,188.28837153405937,15.0,-0.07469534355057306,INITIAL_CLIMB,0.7679194289510787,15.0,-0.07469534355057306,1953313.873415506,16868.238902927988,70268.23890292799
52.0,40.047142333405304,116.57782752120629,453.1679485729395,92.44105910830625,188.27757415905822,15.0,-0.05161114498757513,INITIAL_CLIMB,0.7687377690723749,15.0,-0.05161114498757513,1953130.915611267,16865.359798605707,70265.3597986057
54.0,40.045514842462545,116.57751851102493,479.6117034625697,92.38622282613855,188.27009103682408,15.0,-0.03573383257317175,INITIAL_CLIMB,0.7694102089169375,15.0,-0.03573383257317175,1952948.0466047383,16862.482449521594,70262.4824495216
56.0,40.0438879463107,116.57720981817269,505.91510425404385,92.34193613033472,188.26488885480725,15.0,-0.024821284003863298,INITIAL_CLIMB,0.7699585717386145,15.0,-0.024821284003863298,1952765.2469043683,16859.607314206696,70259.60731420669
